WO ref,PROCESS,PART #,PART DESCRIPT,CUSTOMER,HOURS O/S,OP #,OP DESCRIPT,REQ'D DATE,PERIOD
58748/1.01,TURNING,MP/MET3/771-069,"771-069 Rev B   SOCKET INSULATOR, 12.425mm OD, 4mm ID, 52.5mm LG  (PEEK GF30)",METROL TECHNOLOGY LIMITED,5,20,TURN,20/04/2021,
58748/2.01,TURNING,MP/MET3/771-113,"771-113 Rev A   CONNECTOR INSULATOR, 12.425mm OD, 49mm LG  (PEEK GF30)",METROL TECHNOLOGY LIMITED,0.75,30,MANUFACTURE OF JIG OR FIXTURE,20/04/2021,
58748/2.01,TURNING,MP/MET3/771-113,"771-113 Rev A   CONNECTOR INSULATOR, 12.425mm OD, 49mm LG  (PEEK GF30)",METROL TECHNOLOGY LIMITED,2.08,20,TURN + CHECK LENGTH,20/04/2021,
58748/2.01,TURNING,MP/MET3/771-113,"771-113 Rev A   CONNECTOR INSULATOR, 12.425mm OD, 49mm LG  (PEEK GF30)",METROL TECHNOLOGY LIMITED,0.83,40,TURN ,20/04/2021,
58748/3.01,MILLING,MP/MET3/771-067,"771-067  Rev A   CONNECTION INSULATOR, 12.425mm OD, 110.5mm LG  (PEEK GF30)",METROL TECHNOLOGY LIMITED,6,50,MILL,20/04/2021,
58803/1.01,MILLING,MP/WEL3/H0JO3777-00,H0JO3777-00 REV B 02  MANIFOLD INTERFACE PROTECTOR F/SIDEMOUNT CLAMP (NATURTAL HDPE),WELL MACHINED Ltd,6,20,MILL,29/04/2021,
58803/1.01,MILLING,MP/WEL3/H0JO3777-00,H0JO3777-00 REV B 02  MANIFOLD INTERFACE PROTECTOR F/SIDEMOUNT CLAMP (NATURTAL HDPE),WELL MACHINED Ltd,2.5,30,MILL,29/04/2021,
58717/1.01,MILLING,MP/MET3/662-035,662-035 Rev A   THREAD PROTECTOR  (Black Acetal),METROL TECHNOLOGY LIMITED,0.9,30,ENGRAVE,30/04/2021,
58717/1.01,TURNING,MP/MET3/662-035,662-035 Rev A   THREAD PROTECTOR  (Black Acetal),METROL TECHNOLOGY LIMITED,1.67,20,TURN,30/04/2021,
58717/2.01,TURNING,MP/MET3/738-082,"738-082 REV A   PROTECTOR, THREADED, SEALING, CAP, 32mm OD, M27x1 B (ACETAL RESIN, DELRIN, BLACK)",METROL TECHNOLOGY LIMITED,1.93,20,TURN,30/04/2021,
58717/2.01,MILLING,MP/MET3/738-082,"738-082 REV A   PROTECTOR, THREADED, SEALING, CAP, 32mm OD, M27x1 B (ACETAL RESIN, DELRIN, BLACK)",METROL TECHNOLOGY LIMITED,1.68,30,MILL,30/04/2021,
58717/3.01,MILLING,MP/MET3/738-031,"738-031 Rev A   PROTECTOR, THREADED, SEALING, CAP, 32mm OD, M20x1.5 B  (Black Acetal)",METROL TECHNOLOGY LIMITED,1.42,50,MILL,30/04/2021,
58717/3.01,TURNING,MP/MET3/738-031,"738-031 Rev A   PROTECTOR, THREADED, SEALING, CAP, 32mm OD, M20x1.5 B  (Black Acetal)",METROL TECHNOLOGY LIMITED,0.75,40,MANUFACTURE OF JIG OR FIXTURE,30/04/2021,
58717/3.01,TURNING,MP/MET3/738-031,"738-031 Rev A   PROTECTOR, THREADED, SEALING, CAP, 32mm OD, M20x1.5 B  (Black Acetal)",METROL TECHNOLOGY LIMITED,0.67,30,TURN,30/04/2021,
58717/3.01,TURNING,MP/MET3/738-031,"738-031 Rev A   PROTECTOR, THREADED, SEALING, CAP, 32mm OD, M20x1.5 B  (Black Acetal)",METROL TECHNOLOGY LIMITED,1.42,20,TURN,30/04/2021,
