,WO ref,PROCESS,PART #,PART DESCRIPT,CUSTOMER,HOURS O/S,OP #,OP DESCRIPT,REQ'D DATE,PERIOD
122,58733/1.01,TURNING,MP/CRE1/CRE-MC3305-MDT,CRE-MC3305-MDT REV 01   M16 NUT NAUTRONIX CABLE ASSEMBLY 0111-0260 (450G PEEK),C R ENCAPSULATION LIMITED,2.88,20,TURN,2021-02-24,
123,58733/1.01,MILLING,MP/CRE1/CRE-MC3305-MDT,CRE-MC3305-MDT REV 01   M16 NUT NAUTRONIX CABLE ASSEMBLY 0111-0260 (450G PEEK),C R ENCAPSULATION LIMITED,2.83,30,MILL,2021-02-24,
124,58733/2.01,TURNING,MP/CRE1/CRE-MC3304-MDT,CRE-MC3304-MDT REV 01   M16 BOLT - NAUTRONIX CABLE ASSEMBLY 011-0260 (450G PEEK),C R ENCAPSULATION LIMITED,3.08,20,TURN,2021-02-24,
125,58733/2.01,MILLING,MP/CRE1/CRE-MC3304-MDT,CRE-MC3304-MDT REV 01   M16 BOLT - NAUTRONIX CABLE ASSEMBLY 011-0260 (450G PEEK),C R ENCAPSULATION LIMITED,2.0,30,MILL,2021-02-24,
126,58733/3.01,TURNING,MP/CRE1/CRE-IC1039-MDT,CRE-IC1039-MDT Rev C   SIZE 'A' HYBRID INSERT MALE 4 WAY (EPOXY),C R ENCAPSULATION LIMITED,9.08,20,TURN,2021-02-24,
127,58733/3.01,MILLING,MP/CRE1/CRE-IC1039-MDT,CRE-IC1039-MDT Rev C   SIZE 'A' HYBRID INSERT MALE 4 WAY (EPOXY),C R ENCAPSULATION LIMITED,2.83,30,DRILLING,2021-02-24,
128,58733/4.01,TURNING,MP/CRE1/CRE-IC1030-MDT,CRE-IC1030-MDT Rev C   INSERT SIZE A FEMALE 4-WAY (BLACK EPOXY) ,C R ENCAPSULATION LIMITED,3.44,20,TURN,2021-02-24,
129,58733/4.01,MILLING,MP/CRE1/CRE-IC1030-MDT,CRE-IC1030-MDT Rev C   INSERT SIZE A FEMALE 4-WAY (BLACK EPOXY) ,C R ENCAPSULATION LIMITED,3.83,30,DRILLING,2021-02-24,
130,58733/5.01,TURNING,MP/CRE1/CRE-IC1162-MDT,CRE-IC1162-MDT Rev C   SIZE 'B' HYBRID INSERT FEMALE 7 WAY (EPOXY),C R ENCAPSULATION LIMITED,3.08,20,TURN,2021-02-24,
131,58733/5.01,MILLING,MP/CRE1/CRE-IC1162-MDT,CRE-IC1162-MDT Rev C   SIZE 'B' HYBRID INSERT FEMALE 7 WAY (EPOXY),C R ENCAPSULATION LIMITED,3.08,30,DRILLING,2021-02-24,
132,58733/6.01,TURNING,MP/CRE1/CRE-IC1166-MDT,CRE-IC1166-MDT Rev B   SIZE 'C' HYBRID INSERT MALE 16 WAY (EPOXY),C R ENCAPSULATION LIMITED,2.58,15,TURN,2021-02-24,
133,58733/6.01,MILLING,MP/CRE1/CRE-IC1166-MDT,CRE-IC1166-MDT Rev B   SIZE 'C' HYBRID INSERT MALE 16 WAY (EPOXY),C R ENCAPSULATION LIMITED,3.04,20,DRILLING ,2021-02-24,
134,58733/7.01,TURNING,MP/CRE1/CRE-IC1163-MDT,CRE-IC1163-MDT Rev C   INSERT SIZE B MALE 7-WAY (BLACK EPOXY),C R ENCAPSULATION LIMITED,3.08,20,TURN,2021-02-24,
135,58733/7.01,MILLING,MP/CRE1/CRE-IC1163-MDT,CRE-IC1163-MDT Rev C   INSERT SIZE B MALE 7-WAY (BLACK EPOXY),C R ENCAPSULATION LIMITED,1.92,30,DRILLING,2021-02-24,
136,58733/8.01,TURNING,MP/CRE1/CRE-MC3313-MDT,CRE-MC3313-MDT REV 01   ROV SWITCH MAGNET BOLT CAP (450G PEEK),C R ENCAPSULATION LIMITED,1.73,20,TURN,2021-02-24,
137,58742/1.01,MILLING,MP/PER1/2023-DET,RETAINER - INSERT FEMALE  2023-DET REV4,FORUM ENERGY TECHNOLOGIES (UK) LTD,0.88,30,MILL,2021-02-24,
138,58744/1.01,TURNING,MP/PER1/2412-DET.,270cc COMPENSATOR HOUSING  2412-DET REV 3,FORUM ENERGY TECHNOLOGIES (UK) LTD,1.15,20,TURN,2021-02-24,
139,58744/1.01,TURNING,MP/PER1/2412-DET.,270cc COMPENSATOR HOUSING  2412-DET REV 3,FORUM ENERGY TECHNOLOGIES (UK) LTD,0.25,40,TURN,2021-02-24,
140,58744/1.01,MILLING,MP/PER1/2412-DET.,270cc COMPENSATOR HOUSING  2412-DET REV 3,FORUM ENERGY TECHNOLOGIES (UK) LTD,1.25,50,MILL,2021-02-24,
141,58745/1.01,TURNING,MP/SOI1/DE2089,COUPLING FLANGE   DE2089 rev 4,SOIL MACHINE DYNAMICS LIMITED,1.58,20,TURN,2021-02-24,
142,58745/3.01,TURNING,MP/SOI1/DE2085,PISTON HOUSING BOTTOM DE2085 iss 4,SOIL MACHINE DYNAMICS LIMITED,3.25,30,TURN,2021-02-24,
143,58745/3.01,TURNING,MP/SOI1/DE2085,PISTON HOUSING BOTTOM DE2085 iss 4,SOIL MACHINE DYNAMICS LIMITED,2.5,40,TURN,2021-02-24,
144,58745/3.01,MILLING,MP/SOI1/DE2085,PISTON HOUSING BOTTOM DE2085 iss 4,SOIL MACHINE DYNAMICS LIMITED,4.08,50,MILL,2021-02-24,
145,58745/5.01,MANUAL MACHINING,MP/SOI1/DE2086,PRESSURE HOUSING DE2086 iss 4,SOIL MACHINE DYNAMICS LIMITED,0.33,20,SAW,2021-02-24,
146,58745/5.01,TURNING,MP/SOI1/DE2086,PRESSURE HOUSING DE2086 iss 4,SOIL MACHINE DYNAMICS LIMITED,3.25,30,TURN,2021-02-24,
147,58762/5.01,TURNING,MP/SOI1/AB3123,ROLLER CHAIN IDLER  AB3123 ISS 0,SOIL MACHINE DYNAMICS LIMITED,1.3,20,TURN,2021-02-24,
148,58762/5.01,TURNING,MP/SOI1/AB3123,ROLLER CHAIN IDLER  AB3123 ISS 0,SOIL MACHINE DYNAMICS LIMITED,0.3,30,TURN,2021-02-24,
149,58762/5.01,TURNING,MP/SOI1/AB3123,ROLLER CHAIN IDLER  AB3123 ISS 0,SOIL MACHINE DYNAMICS LIMITED,1.0,40,TURN,2021-02-24,
150,58762/6.01,MILLING,MP/SOI1/AG7488,COVER PLATE POD TMS 3000m AG7488 REV 1,SOIL MACHINE DYNAMICS LIMITED,5.0,30,MILL,2021-02-24,
151,58762/6.01,MILLING,MP/SOI1/AG7488,COVER PLATE POD TMS 3000m AG7488 REV 1,SOIL MACHINE DYNAMICS LIMITED,0.75,40,MILL,2021-02-24,
152,58762/6.01,MANUAL MACHINING,MP/SOI1/AG7488,COVER PLATE POD TMS 3000m AG7488 REV 1,SOIL MACHINE DYNAMICS LIMITED,0.0,50,INSERT,2021-02-24,
153,58787/1.01,MILLING,MP/ROS5/PAD/29513-007,29513-007 Rev 01   NATURAL NYLON REST BLOCKS,ROSS-SHIRE ENGINEERING,1.25,20,MILL,2021-02-24,
154,58787/1.01,MILLING,MP/ROS5/PAD/29513-007,29513-007 Rev 01   NATURAL NYLON REST BLOCKS,ROSS-SHIRE ENGINEERING,0.2,30,MILL,2021-02-24,
155,58797/1.01,MANUAL MACHINING,MP/ALS1/MMID-2R2036-1,MMID-2R2036-1 REV 1   GLASTIC SUPPORT CHANNEL,GE ENERGY POWER CONVERSION LTD,1.0,20,MANUFACTURE OF JIG OR FIXTURE,2021-02-24,
156,58797/2.01,MANUAL MACHINING,MP/ALS1/MMID-2R2036-2,MMID-2R2036-2 REV 1   GLASTIC SUPPORT CHANNEL,GE ENERGY POWER CONVERSION LTD,1.0,20,MANUFACTURE OF JIG OR FIXTURE,2021-02-24,
157,58832/1.01,CNC ROUTERS,MP/SOI1/AF2722,COVER UMB TERM. AF2722 iss 0,SOIL MACHINE DYNAMICS LIMITED,6.25,20,CNC ROUTER,2021-02-24,
158,58832/1.01,MANUAL MACHINING,MP/SOI1/AF2722,COVER UMB TERM. AF2722 iss 0,SOIL MACHINE DYNAMICS LIMITED,1.5,30,FINISH,2021-02-24,
159,1075,MILLING,MP/CLY6/IS24835,"PACKING SET FOR PS TYPE SOOTBLOWERS, CARBON FILLED PTFE, DRG IS_24835  REV A (NOW SPLIT)",,1.0,40,MILL (single 45 degree split),2021-02-25,
160,58492/1.01,TURNING,MP/WAL3/01-00113X02,01-00113X02 Rev 00   SSPA SIDE PLATE SPACER (PEEK 30% GLASS FILLED),WALKER PRECISION ENGINEERING Ltd,13.92,30,TURN,2021-02-25,
161,58692/1.01,PRESS/SEALING,GR/KEN1/P004136,"GRAPHITE RINGS TO DRG P004136 REV D, 21.95 x 19.05 x 4.6mm",SWAGELOK LIMITED,6.6,20,PRESS/SEALING,2021-02-25,
162,58700/1.01,MILLING,MP/PER1/1448-DET,"SPACER RACK - 30 DEG, DRG 1448-DET ISS 2, NATURAL",FORUM ENERGY TECHNOLOGIES (UK) LTD,4.08,30,MILL,2021-02-25,
163,58700/1.01,MILLING,MP/PER1/1448-DET,"SPACER RACK - 30 DEG, DRG 1448-DET ISS 2, NATURAL",FORUM ENERGY TECHNOLOGIES (UK) LTD,0.5,40,MANUFACTURE OF JIG OR FIXTURE,2021-02-25,
164,58700/1.01,MILLING,MP/PER1/1448-DET,"SPACER RACK - 30 DEG, DRG 1448-DET ISS 2, NATURAL",FORUM ENERGY TECHNOLOGIES (UK) LTD,3.33,50,MILL,2021-02-25,
165,58700/6.01,MILLING,MP/PER1/2511-DET,"COMP BODY - 50cc-SPE250, 2511-DET REV 3",FORUM ENERGY TECHNOLOGIES (UK) LTD,4.33,50,MILL,2021-02-25,
166,58712/4.01,TURNING,MP/DIV1/SRV1031022112S1,"SRV1031022112S1 REV R01   AFT CAMERA SPACER (ACETAL, BLACK)",JFD LIMITED,1.22,20,TURN,2021-02-25,
167,58712/5.01,MILLING,MP/DIV1/SRV1031022293S1,"SRV1031022293S1 REV R00   FABRICATION, ALTIMETER CLAMP BASE (ACETAL, BLACK)",JFD LIMITED,2.1,20,MILL,2021-02-25,
168,58712/6.01,MILLING,MP/DIV1/SRV1031022294S1,"SRV1031022294S1 REV R00   FABRICATION, ALTIMETER CLAMP TOP (ACETAL, BLACK)",JFD LIMITED,2.0,20,MILL,2021-02-25,
169,58712/7.01,TURNING,MP/DIV1/SRV1031032064S1,"SRV1031032064S1 REV R00   FABRICATION, PACKER, 3MM THK, SKIRT FLOOR (ACETAL, BLACK)",JFD LIMITED,0.95,20,TURN,2021-02-25,
170,58712/8.01,MILLING,MP/DIV1/SRV1031122108S1,"SRV1031122108S1 REV R00   FABRICATION, RETAINER GUIDE (ACETAL, BLACK)",JFD LIMITED,2.25,20,MILL,2021-02-25,
171,58720/1.01,TURNING,MP/MET3/532-461,"532-461 REV A   SPACER, SLEEVE, 12.4mm OD, 55,4mm MuL (PEEK 450G)",METROL TECHNOLOGY LIMITED,5.25,20,TURN,2021-02-25,
172,58720/1.01,MILLING,MP/MET3/532-461,"532-461 REV A   SPACER, SLEEVE, 12.4mm OD, 55,4mm MuL (PEEK 450G)",METROL TECHNOLOGY LIMITED,2.42,30,MILL,2021-02-25,
173,58725/1.01,TURNING,MP/DIV1/DB5003928,"ADAPTOR, BLANKING, LEE JET, TTK, COBRA  DB5003928  Rev R01",JFD LIMITED,2.92,20,TURN,2021-02-25,
174,58731/1.01,TURNING,MP/BRO2/FILLER_NOZZLE/COLOUR/110LG/9.2dia,"FILLER NOZZLE L-HAND THREAD 
110 LONG, 9.2 dia NOZZLE (MATERIAL YELLOW ACETAL)",BROXBURN BOTTLERS,2.67,20,TURN,2021-02-25,
175,58731/1.01,TURNING,MP/BRO2/FILLER_NOZZLE/COLOUR/110LG/9.2dia,"FILLER NOZZLE L-HAND THREAD 
110 LONG, 9.2 dia NOZZLE (MATERIAL YELLOW ACETAL)",BROXBURN BOTTLERS,1.67,30,TURN,2021-02-25,
176,58731/1.01,TURNING,MP/BRO2/FILLER_NOZZLE/COLOUR/110LG/9.2dia,"FILLER NOZZLE L-HAND THREAD 
110 LONG, 9.2 dia NOZZLE (MATERIAL YELLOW ACETAL)",BROXBURN BOTTLERS,2.17,40,TURN THREAD LH,2021-02-25,
177,58731/1.01,TURNING,MP/BRO2/FILLER_NOZZLE/COLOUR/110LG/9.2dia,"FILLER NOZZLE L-HAND THREAD 
110 LONG, 9.2 dia NOZZLE (MATERIAL YELLOW ACETAL)",BROXBURN BOTTLERS,0.25,50,SPLIT BUSH,2021-02-25,
178,58731/2.01,TURNING,MP/BRO2/FILLER_NOZZLE/WHITE/110LG/7dia,"FILLER NOZZLE L-HAND THREAD 
110 LONG, 7 dia NOZZLE (MATERIAL RED ACETAL)

(NO CROSS-DRILLED HOLE)
",BROXBURN BOTTLERS,2.67,20,TURN,2021-02-25,
179,58731/2.01,TURNING,MP/BRO2/FILLER_NOZZLE/WHITE/110LG/7dia,"FILLER NOZZLE L-HAND THREAD 
110 LONG, 7 dia NOZZLE (MATERIAL RED ACETAL)

(NO CROSS-DRILLED HOLE)
",BROXBURN BOTTLERS,1.67,30,TURN,2021-02-25,
180,58731/2.01,TURNING,MP/BRO2/FILLER_NOZZLE/WHITE/110LG/7dia,"FILLER NOZZLE L-HAND THREAD 
110 LONG, 7 dia NOZZLE (MATERIAL RED ACETAL)

(NO CROSS-DRILLED HOLE)
",BROXBURN BOTTLERS,2.17,40,TURN THREAD LH,2021-02-25,
181,58731/2.01,TURNING,MP/BRO2/FILLER_NOZZLE/WHITE/110LG/7dia,"FILLER NOZZLE L-HAND THREAD 
110 LONG, 7 dia NOZZLE (MATERIAL RED ACETAL)

(NO CROSS-DRILLED HOLE)
",BROXBURN BOTTLERS,0.25,50,SPLIT BUSH,2021-02-25,
182,58738/1.01,TURNING,MP/RED3/6091 09,6091 09 REV A CYLINDER CLEVIS SPACER (BLACK CAST NYLON6),REDBRIDGE ENGINEERING,0.95,20,TURN,2021-02-25,
183,58738/2.01,TURNING,MP/RED3/6091 16,6091 16 REV A  CLEVIS SHIELD (BLACK CAST NYLON6),REDBRIDGE ENGINEERING,1.08,20,TURN,2021-02-25,
184,58752/1.01,TURNING,MP/OTA1/W-18-296,W-18-296  FRONT ENDCAP - EAGLE IP Z/300 (BLUE ACETAL),OTAQ OFFSHORE LIMITED,1.75,20,TURN,2021-02-25,
185,58752/1.01,TURNING,MP/OTA1/W-18-296,W-18-296  FRONT ENDCAP - EAGLE IP Z/300 (BLUE ACETAL),OTAQ OFFSHORE LIMITED,0.42,30,TURN,2021-02-25,
186,58783/3.01,TURNING,MP/CRE1/CRE-MC3301-MDT,CRE-MC3301-MDT REV 04   SIZE 'A' EXTENDED PEEK CONNECTOR BODY - MOULDED,C R ENCAPSULATION LIMITED,17.5,20,TURN,2021-02-25,
187,58783/3.01,TURNING,MP/CRE1/CRE-MC3301-MDT,CRE-MC3301-MDT REV 04   SIZE 'A' EXTENDED PEEK CONNECTOR BODY - MOULDED,C R ENCAPSULATION LIMITED,0.5,30,MANUFACTURE OF JIG OR FIXTURE,2021-02-25,
188,58797/1.01,MANUAL MACHINING,MP/ALS1/MMID-2R2036-1,MMID-2R2036-1 REV 1   GLASTIC SUPPORT CHANNEL,GE ENERGY POWER CONVERSION LTD,6.0,30,"SAW, DRILL, C'SINK, SLOT",2021-02-25,
189,58797/2.01,MANUAL MACHINING,MP/ALS1/MMID-2R2036-2,MMID-2R2036-2 REV 1   GLASTIC SUPPORT CHANNEL,GE ENERGY POWER CONVERSION LTD,6.0,30,"SAW, DRILL, C'SINK, SLOT",2021-02-25,
190,58843/1.01,TURNING,MP/CRE1/CRE-IC1426-MDT,CRE-IC1426-MDT REV B   INSERT SIZE 'B' FEMALE - 4 WAY TYPE 2 (FROM SIZE B BILLET),C R ENCAPSULATION LIMITED,1.33,20,TURN,2021-02-25,
191,58843/1.01,MILLING,MP/CRE1/CRE-IC1426-MDT,CRE-IC1426-MDT REV B   INSERT SIZE 'B' FEMALE - 4 WAY TYPE 2 (FROM SIZE B BILLET),C R ENCAPSULATION LIMITED,1.08,30,MILL,2021-02-25,
192,58843/2.01,TURNING,MP/CRE1/CRE-IC1042-MDT,CRE-IC1042-MDT  Rev C   SIZE 'A' HYBRID INSERT MALE 7 WAY (EPOXY),C R ENCAPSULATION LIMITED,1.25,20,TURN,2021-02-25,
193,58843/2.01,MILLING,MP/CRE1/CRE-IC1042-MDT,CRE-IC1042-MDT  Rev C   SIZE 'A' HYBRID INSERT MALE 7 WAY (EPOXY),C R ENCAPSULATION LIMITED,1.44,30,DRILLING,2021-02-25,
194,58705/1.01,MILLING,MP/ALE2/RQ-ICD-00637,"RQ-ICD-00637 REV 02   PENDANT MASTER CONTROLLER, BASE (ACETAL - BLACK)",ALERON SUBSEA LIMITED,5.5,20,MILL,2021-02-26,
195,58705/1.01,MILLING,MP/ALE2/RQ-ICD-00637,"RQ-ICD-00637 REV 02   PENDANT MASTER CONTROLLER, BASE (ACETAL - BLACK)",ALERON SUBSEA LIMITED,0.75,30,MANUFACTURE OF JIG OR FIXTURE,2021-02-26,
196,58720/1.01,MILLING,MP/MET3/532-461,"532-461 REV A   SPACER, SLEEVE, 12.4mm OD, 55,4mm MuL (PEEK 450G)",METROL TECHNOLOGY LIMITED,1.92,40,ENGRAVE,2021-02-26,
197,58720/1.01,MILLING,MP/MET3/532-461,"532-461 REV A   SPACER, SLEEVE, 12.4mm OD, 55,4mm MuL (PEEK 450G)",METROL TECHNOLOGY LIMITED,2.58,50,MILL,2021-02-26,
198,58731/1.01,MILLING,MP/BRO2/FILLER_NOZZLE/COLOUR/110LG/9.2dia,"FILLER NOZZLE L-HAND THREAD 
110 LONG, 9.2 dia NOZZLE (MATERIAL YELLOW ACETAL)",BROXBURN BOTTLERS,4.08,60,MILL PTG ANGLED ,2021-02-26,
199,58731/2.01,MILLING,MP/BRO2/FILLER_NOZZLE/WHITE/110LG/7dia,"FILLER NOZZLE L-HAND THREAD 
110 LONG, 7 dia NOZZLE (MATERIAL RED ACETAL)

(NO CROSS-DRILLED HOLE)
",BROXBURN BOTTLERS,4.08,60,MILL PTG ANGLED ,2021-02-26,
200,58737/1.01,MILLING,MP/COD1/DP0093-ME-57-DT,"DP0093-ME-57-DT ISS 01, NYLON LIFTING HANDLE (NATURAL NYLON6) - ITEM CODE HW0000808",CODA OCTOPUS PRODUCTS LTD,9.0,20,MILL,2021-02-26,
201,58737/2.01,MILLING,MP/COD1/DP0093-ME-56-DT,"DP0093-ME-56-DT ISS 01, SUPPORT PROTECTION SKID (NATURAL NYLON6G) - ITEM CODE HW0000807",CODA OCTOPUS PRODUCTS LTD,6.0,20,MILL,2021-02-26,
202,58737/3.01,MILLING,MP/COD1/DP0093-ME-60-DT,"DP0093-ME-60-DT ISS 01, ANGLED LIFTING HANDLE(NATURAL NYLON6)- ITEM CODE HW0000811",CODA OCTOPUS PRODUCTS LTD,21.5,20,"
MILL",2021-02-26,
203,58737/4.01,MILLING,MP/COD1/DP0093-ME-59-DT,DP0093-ME-59-DT ISSS 01 BASE PROTECTION SKID (NATURAL NYLON6G) - ITEM CODE HW0000810,CODA OCTOPUS PRODUCTS LTD,6.0,20,MILL,2021-02-26,
204,58737/5.01,MILLING,MP/COD1/DP0093-ME-55-DT,DP0093-ME-55-DT ISS 01 REAR BASE SKID(NATURAL NYLON 6G) - ITEM CODE HW0000806,CODA OCTOPUS PRODUCTS LTD,4.75,20,MILL,2021-02-26,
205,58752/1.01,MILLING,MP/OTA1/W-18-296,W-18-296  FRONT ENDCAP - EAGLE IP Z/300 (BLUE ACETAL),OTAQ OFFSHORE LIMITED,3.25,40,MILL,2021-02-26,
206,58752/1.01,MILLING,MP/OTA1/W-18-296,W-18-296  FRONT ENDCAP - EAGLE IP Z/300 (BLUE ACETAL),OTAQ OFFSHORE LIMITED,1.33,50,MILL,2021-02-26,
207,58752/2.01,TURNING,MP/OTA1/W-18-297,W-18-297  END CAP EAGLE IP Z/300 (BLUEACETAL),OTAQ OFFSHORE LIMITED,1.75,20,TURN,2021-02-26,
208,58752/2.01,TURNING,MP/OTA1/W-18-297,W-18-297  END CAP EAGLE IP Z/300 (BLUEACETAL),OTAQ OFFSHORE LIMITED,0.42,30,TURN,2021-02-26,
209,58752/2.01,MILLING,MP/OTA1/W-18-297,W-18-297  END CAP EAGLE IP Z/300 (BLUEACETAL),OTAQ OFFSHORE LIMITED,2.08,40,MILL,2021-02-26,
210,58752/3.01,TURNING,MP/OTA1/W-18-298,W-18-298 BODYTUBE EAGLE IP Z/300 (BLUE ACETAL),OTAQ OFFSHORE LIMITED,2.17,20,TURN,2021-02-26,
211,58752/3.01,TURNING,MP/OTA1/W-18-298,W-18-298 BODYTUBE EAGLE IP Z/300 (BLUE ACETAL),OTAQ OFFSHORE LIMITED,0.42,30,TURN,2021-02-26,
212,58752/3.01,MILLING,MP/OTA1/W-18-298,W-18-298 BODYTUBE EAGLE IP Z/300 (BLUE ACETAL),OTAQ OFFSHORE LIMITED,2.33,40,MILL,2021-02-26,
213,58752/4.01,TURNING,MP/OTA1/W-18-299,W-18-299  LENS HOLDER EAGLE IP Z/300  (BLUE ACETAL),OTAQ OFFSHORE LIMITED,1.42,20,TURN,2021-02-26,
214,58752/4.01,MILLING,MP/OTA1/W-18-299,W-18-299  LENS HOLDER EAGLE IP Z/300  (BLUE ACETAL),OTAQ OFFSHORE LIMITED,0.83,30,MILL,2021-02-26,
215,58758/1.01,PRESS/SEALING,GR/KEN1/P900973,"GRAPHITE RING, 23.30mm x 20.95mm x 2.15mm, DENSITY 1.6g/cc  P900973 REV B (WEIGHT 0.30/0.27gms)",SWAGELOK LIMITED,25.0,30,PRESS RING,2021-02-26,
216,58767/1.01,MILLING,MP/MAC4/CONV-STD-01,BEARING HOUSING CONV-STD-01 REV A,MACDUFF SHIPYARDS LTD,2.83,20,MILL,2021-02-26,
217,58767/1.01,MILLING,MP/MAC4/CONV-STD-01,BEARING HOUSING CONV-STD-01 REV A,MACDUFF SHIPYARDS LTD,0.5,30,MILL,2021-02-26,
218,58767/1.01,MILLING,MP/MAC4/CONV-STD-01,BEARING HOUSING CONV-STD-01 REV A,MACDUFF SHIPYARDS LTD,0.5,40,MILL,2021-02-26,
219,58767/1.01,MILLING,MP/MAC4/CONV-STD-01,BEARING HOUSING CONV-STD-01 REV A,MACDUFF SHIPYARDS LTD,0.5,50,MILL,2021-02-26,
220,58767/1.01,MILLING,MP/MAC4/CONV-STD-01,BEARING HOUSING CONV-STD-01 REV A,MACDUFF SHIPYARDS LTD,1.0,60,MILL,2021-02-26,
221,58767/1.01,MILLING,MP/MAC4/CONV-STD-01,BEARING HOUSING CONV-STD-01 REV A,MACDUFF SHIPYARDS LTD,1.0,70,MILL,2021-02-26,
222,58767/1.01,MANUAL MACHINING,MP/MAC4/CONV-STD-01,BEARING HOUSING CONV-STD-01 REV A,MACDUFF SHIPYARDS LTD,0.5,80,MANUAL MACHINING (VARIOUS),2021-02-26,
223,58777/1.01,TURNING,MP/SOI1/AC4789,"SPACER TMS SLIPRING, AC4789 iss 0",SOIL MACHINE DYNAMICS LIMITED,0.88,20,TURN,2021-02-26,
224,58777/1.01,TURNING,MP/SOI1/AC4789,"SPACER TMS SLIPRING, AC4789 iss 0",SOIL MACHINE DYNAMICS LIMITED,0.07,30,TURN,2021-02-26,
225,58777/1.01,MILLING,MP/SOI1/AC4789,"SPACER TMS SLIPRING, AC4789 iss 0",SOIL MACHINE DYNAMICS LIMITED,0.83,40,MILL,2021-02-26,
226,58777/2.01,TURNING,MP/SOI1/AB6156,"AB6156 iss 2,  BEARING TMS DRUM (SPLIT) ",SOIL MACHINE DYNAMICS LIMITED,1.33,20,TURN,2021-02-26,
227,58777/2.01,MILLING,MP/SOI1/AB6156,"AB6156 iss 2,  BEARING TMS DRUM (SPLIT) ",SOIL MACHINE DYNAMICS LIMITED,1.33,30,MILL ,2021-02-26,
228,58777/2.01,MANUAL MACHINING,MP/SOI1/AB6156,"AB6156 iss 2,  BEARING TMS DRUM (SPLIT) ",SOIL MACHINE DYNAMICS LIMITED,0.17,40,SPLIT,2021-02-26,
229,58777/3.01,CNC ROUTERS,MP/SOI1/AH2216,"BRACKET POD, AH2216 REV 0",SOIL MACHINE DYNAMICS LIMITED,1.25,20,CNC ROUTER,2021-02-26,
230,58777/3.01,MANUAL MACHINING,MP/SOI1/AH2216,"BRACKET POD, AH2216 REV 0",SOIL MACHINE DYNAMICS LIMITED,0.42,30,MANUAL ROUTER,2021-02-26,
231,58777/3.01,MILLING,MP/SOI1/AH2216,"BRACKET POD, AH2216 REV 0",SOIL MACHINE DYNAMICS LIMITED,0.92,40,MILL,2021-02-26,
232,58777/3.01,MILLING,MP/SOI1/AH2216,"BRACKET POD, AH2216 REV 0",SOIL MACHINE DYNAMICS LIMITED,0.17,50,MILL,2021-02-26,
233,58777/4.01,CNC ROUTERS,MP/SOI1/AA6154,PLATE TMS DOCKING HEAD INTERFACE  AA6154  iss 3,SOIL MACHINE DYNAMICS LIMITED,1.92,20,CNC ROUTER,2021-02-26,
234,58777/4.01,MANUAL MACHINING,MP/SOI1/AA6154,PLATE TMS DOCKING HEAD INTERFACE  AA6154  iss 3,SOIL MACHINE DYNAMICS LIMITED,0.33,30,FINISH,2021-02-26,
235,58789/1.01,MILLING,MP/DIV1/SRV1031022133S1,"SRV1031022133S1 REV R00   FABRICATION, CLAMP, TOP HALF (ACETAL, BLACK)",JFD LIMITED,1.67,20,MILL,2021-02-26,
236,58789/2.01,MILLING,MP/DIV1/SRV1031022134S1,"SRV1031022134S1 REV R00   FABRICATION, CLAMP, BOTTOM HALF (ACETAL, BLACK)",JFD LIMITED,1.67,20,MILL,2021-02-26,
237,58789/3.01,MILLING,MP/DIV1/SRV1031022137S1,"SRV1031022137S1 REV R00   FABRICATION, CLAMP, TOP HALF (ACETAL, BLACK)",JFD LIMITED,2.0,20,MILL,2021-02-26,
238,58789/4.01,MILLING,MP/DIV1/SRV1031022138S1,"SRV1031022138S1 REV R00   FABRICATION, CLAMP, BOTTOM HALF (ACETAL, BLACK)",JFD LIMITED,2.0,20,MILL,2021-02-26,
239,58789/5.01,MILLING,MP/DIV1/SRV1031122266S1,"SRV1031122266S1 REV R00   FABRICATION, BASE, CLAMP, MOTORT (ACETAL, BLACK)",JFD LIMITED,2.5,20,MILL,2021-02-26,
240,58789/6.01,MILLING,MP/DIV1/SRV1031122267S1,"SRV1031122267S1 REV R00   FABRICATION, TOP, CLAMP, MOTOR (ACETAL, BLACK)",JFD LIMITED,2.0,20,MILL,2021-02-26,
241,58789/7.01,MILLING,MP/DIV1/SRV1031122268S1,"SRV1031122268S1 REV R00   FABRICATION, CLAMP, COMPENSATOR (ACETAL, BLACK)",JFD LIMITED,4.0,20,MILL,2021-02-26,
242,58802/1.01,MILLING,MP/ALE2/RQ-ICD-00690,RQ-ICD-00690 REV 02   TORQUE TOOL VALVE PACK MOUNTING PLATE (ACETAL - BLACK),ALERON SUBSEA LIMITED,6.5,20,MILL,2021-02-26,
243,58809/1.01,TURNING,MP/GEO6/2-2-09-15531101,2-2-09-15531101 Iss 01   1-11/16 BOND PLATFORM ROUND BUMPER,SONDEX WIRELINE LTD,1.0,20,TURN,2021-02-26,
244,58809/2.01,TURNING,MP/GEO6/420473,DD-420473 REV A   RING ANTI-EXTRUSION 007 (ISO 3601-4:2008 'T2',SONDEX WIRELINE LTD,1.45,20,TURN,2021-02-26,
245,58809/2.01,MILLING,MP/GEO6/420473,DD-420473 REV A   RING ANTI-EXTRUSION 007 (ISO 3601-4:2008 'T2',SONDEX WIRELINE LTD,1.0,30,MANUFACTURE OF JIG OR FIXTURE,2021-02-26,
